Tehase 23,Aseri,43401,Lääne-Virumaa,Aseri Grossi Kauplus,59.4496209,26.8668768
Pärnu mnt 13,Abja-Paluoja,69403,Viljandimaa,Abja-Paluoja Konsum,58.1252437,25.3415437
Piibe maantee 13,Aegviidu,74501,Harjumaa,Aegviidu raamatukogu,59.2869603,25.6106361
Tartu mnt 24a,Ahja,63710,Põlvamaa,Ahja Konsum,58.2088297,27.0751343
Puru tee 77,Ahtme,31023,Ida-Virumaa,Ahtme Maxima XX,59.3379836,27.4201844
Lossi 1a,Alatskivi,60218,Tartumaa,Alatskivi Konsum,58.6024626,27.124698
F. R. Kreutzwaldi tn 4a,Antsla,66404,Võrumaa,Antsla Konsum,57.76667,26.93333
Tallinna mnt 8,Aruküla,75201,Harjumaa,Aruküla Konsum,59.3705612,25.0781188
Võidu 18,Avinurme,42101,Jõgevamaa,Avinurme Konsum,58.9860125,26.8701557
Taevavärava tee 1,Lehmja ,75306,Harjumaa,DPD Eesti peakontor,59.3649909,24.8987641
Valga maantee 5,Elva,61504,Tartumaa,Elva Maxima X,58.2206482,26.4043706
Posti 41,Haapsalu,90507,Läänemaa,Haapsalu Kaubamaja Konsum,58.9394948,23.5415695
Kuuse 30,Haapsalu,90509,Läänemaa,Haapsalu Kastani keskus,58.9369361,23.5645321
Võsu maantee 5,Haljala ,45301,Lääne-Virumaa !!!,Haljala Grossi kauplus,59.4350024,26.2525179
Kasesalu tee 51,Ihaste,62220,Tartumaa,Ihaste Konsum,58.3507625,26.789044
Tartu mnt 55,Iisaku,41101,Ida-Virumaa,Iisaku Grossi kauplus,59.095002,27.3146208
Rukkilille,Imavere,72401,Järvamaa,Imavere Meie kauplus,58.91667,25.66667
Aia 33,Jõgeva,48304,Jõgevamaa,Jõgeva Pae Konsum,58.7431149,26.3751866
Rakvere 29,Jõhvi,41533,Ida-Virumaa,Jõhvi Maxima XX,59.3620922,27.4013826
Keskväljak 4,Jõhvi,41531,Ida-Virumaa,Jõhvi Tsentraal,59.3582788,27.4141744
Turu 1,Järvakandi,79101,Rapla maakond,Järvakandi Grossi kauplus,58.7744416,24.8181836
Lai 23,Järva-Jaani,73301,Järva maakond,Järva - Jaani Grossi kauplus,59.0382034,25.8842788
Aruküla tee 7,Jüri,75306,Harjumaa,Jüri Grossi kauplus,59.3537763,24.8924802
Pärna pst 2,Koeru,73001,Järvamaa,Koeru Konsum,58.9624185,26.0280621
Põhja allee 4,Kohtla-Järve,30323,Ida-Virumaa,Kohtla-Järve mini-Rimi,59.407228,27.2848929
Viru 9,Kadrina,45201,Lääne-Viru maakond,Kadrina Grossi kauplus,59.3412697,26.1308269
Kesk 2a,Kambja,62034,Tartumaa,Kambja Konsum,58.23509,26.6949453
A. Weizenbergi 19,Kanepi,63101,Põlvamaa,Kanepi Kauplus,57.9857777,26.7595264
Rahumäe 1,Karksi-Nuia,69103,Viljandimaa,Karksi-Nuia Konsum,58.104291,25.5482396
Kose mnt 7,Kehra,74307,Harjumaa,Kehra Grossi kauplus,59.3345525,25.3331962
Lasteaia 12,Kehtna,79001,Rapla maakond,Kehtna kauplus,58.9259395,24.8718354
Tallinna mnt 25,Keila,76608,Harjumaa,Keila Maxima X,59.3105885,24.4325674
Piiri 12,Keila,76610,Harjumaa,Keila Selver,59.31323,24.422028
Vaela tee 4,Kiili,75401,Harjumaa,Kiili Maxima X,59.309999,24.8343044
Pärnu 37,Kilingi-Nõmme,86303,Pärnumaa,Kilingi-Nõmme Konsum,58.147573,24.9494284
Metsa 2,Kiviõli,43125,Ida-Virumaa,Kiviõli K5 keskus,59.3573876,26.9761776
Aedlinna tee 3,Klooga,76703,Harjumaa,Klooga Kultuurikeskus,59.319965,24.234971
Viljandi mnt 3a,Kohila,79805,Raplamaa,Kohila Grossi kauplus,59.163559,24.7575396
Järveküla tee 50,Kohtla-Järve,30321,Ida-Virumaa,Kohtla-Järve Vironia keskus,59.397924,27.2852958
Keskallee 1,Kohtla-Järve,30325,Ida-Viru maakond,Kohtla-Järve Virula kaubakeskus,59.4028743,27.2892384
Kodu 2,Kose,75101,Harjumaa,Kose Grossi pood,59.1795016,25.1660087
Kasemäe 12,Kunda,44107,Lääne-Virumaa,Kunda Grossi pood,59.5004744,26.5184524
Raekoja 10,Kuressaare,93814,Saaremaa,Kuressaare Rae Konsum,58.2525765,22.4863051
Tallinna 67,Kuressaare,93815,Saaremaa,Kuressaare Selver,58.2632267,22.5080996
Kuusalu tee 13,Kuusalu,74619,Harjumaa,Kuusalu Konsum,59.4499323,25.4330656
Hiiu mnt 9,Käina,92101,Hiiu maakond,Käina Konsum,58.8275465,22.7767714
Rehemäe,Kärdla,92422,Hiiumaa,Kärdla Selver,58.9907455,22.7649005
Pärnu mnt 556a,Laagri,76401,Harjumaa,Laagri Rimi,59.3433949,24.6154395
Instituudi tee 132,Laagri,76401,Harjumaa,Laagri Veskimöldre keskus,59.357546,24.6020836
Kloogaranna tee 26,Laulasmaa,76702,Harjumaa,Laulasmaa Selver,59.378141,24.238757
Mustjala mnt. 5,Leisi,94202,Saaremaakond,Leisi kauplus,58.5718025,22.6822124
Tallinna maantee 29,Lihula,90303,Pärnumaa,Lihula Ehituskeskus,58.686675,23.8336845
Rohuaia 6,Loksa,74806,Harjumaa,Loksa Grossi kauplus,59.5792288,25.7279754
Saha tee 9,Loo,74201,Harjumaa,Loo Grossi kauplus,59.4358105,24.9422153
Keemikute 2,Maardu,74116,Harjumaa,Maardu Maxima XX,59.4735476,25.0198472
Liiva küla,Muhu,94701,Saaremaa,Muhu Liiva Konsum,58.6052358,23.2366791
Lee tee 1,Muraste,76905,Harjumaa,Muraste Konsum,59.4549145,24.4439803
