Viljandi Männimäe Selver,Viljandi,Riia mnt 35,71002,Selveri kassade vastas boksis,58.353,25.58428
Tallinna Merimetsa Selver,Tallinn,Paldiski mnt 56,10614,"hoone parempoolses tiivas, Merimetsa Selveri fuajees",59.429986,24.698403
Tallinna Lasnamäe Prisma,Tallinn,Mustakivi tee 17,13912,Vasakpoolse sissepääsu juures,59.44309,24.863091
Tartu Anne Selver,Tartu,Kalda tee 43,50703,Selveri infoleti kõrval koridoris,58.368057,26.76733
Tartu Lõunakeskuse Rimi,Tartu,Ringtee 75,50501,hoone liuväljapoolses tiivas Anni pesusalongi vastas,58.359368,26.677294
Jõhvi Tsentraal,Jõhvi,Keskväljak 4,41531,1. korrusel Büroomaailma kõrval,59.35827543,27.41405223
Narva Astri Keskus,Narva,Tallinna mnt 41,20605,Selveri kassade kõrval,59.38108,28.17536
Rakvere Kroonikeskus,Rakvere,F. G. Adoffi 11,44310,Selveri müügisaali sissepääsu vastas,59.34867,26.36407
Jõgeva Kaubahall,Jõgeva,Aia 3,48306,1. korrusel apteegi kõrval,58.745986,26.398087
Paide Selver,Paide,Aiavilja 4,72712,1. korrusel koridori lõpus,58.88564,25.56387
Rapla Maxima,Rapla,Tallinna mnt 50a,79514,kassade vastas,58.99827,24.79071
Rannarootsi Keskus,Haapsalu,Rannarootsi tee 1,78302,Selveri infoleti kõrval koridoris,58.93679,23.5692
Kärdla Selver,Kärdla,"Rehemäe, Linnumäe küla, Pühalepa vald",92420,Selveri kassade kõrval seina ääres,58.98967,22.76325
Kuressaare Saare Selver,Kuressaare,Tallinna 67,93815,Selveri kassade vastas boksis,58.263197,22.508594
Pärnu Kaubamajakas,Pärnu,Papiniidu 8,80042,1. korrusel Triumph pesupoe vastas,58.370127,24.550281
Valga Selver,Valga,Raja 5,68203,kassade vastas boksis,57.77683,26.0274
Võru Kagukeskus,Võru,Kooli 6,65606,1. korrusel Elisa esinduse kõrval,57.84595,27.00862
Tallinna Lasnamäe Centrum (RIMI),Tallinn,Mustakivi tee 13,13912,Sportlandi kõrval koridoris,59.440384,24.864249
Tallinna Haabersti Rimi,Tallinn,Haabersti 1,13516,peasissepääsu kõrval,59.42395,24.643879
