
Tallinna Idakeskus (valge) Punane 16b, Tallinn
Tallinna Paasiku Grossi kpl (valge) Paasiku 2a, Tallinn
Tartu Märja Konsum (valge) Aisa tn 2, Tartu
Jüri Konsum Aruküla tee 29, Jüri
Kehra Grossi kpl Kose maantee 7, Kehra
Keila Grossi kpl Piiri 7, Keila
Keila Jaama kauplus (valge) Jaama 1, Keila
Keila Selver Piiri 12, Keila
Kiili Maxima Vaela tee 4, Kiili
Kose Grossi kpl pakimajake (valge) Kodu 2, Kose
Kuusalu Grossi kpl Mäe 1, Kuusalu
Kuusalu Meie pood (valge) Kuusalu tee 39, Kuusalu
Laulasmaa Selver ABC (valge) Kloogaranna tee 26, Laulasmaa
Leesi poemaja (valge) Poe, Leesi
Loo Grossi kpl Saha tee 9, Loo
Maardu Maxima Keemikute 2, Maardu
Maardu Pärli Keskus Nurga 3, Maardu
Muuga Maxima Altmetsa 1, Tallinn
Paldiski Grossi kpl pakimajake (valge) Rae 26, Paldiski
Peetri Keskus (valge) Küti tee 4, Tallinn
Saku Selver Üksnurme tee 2, Saku
Saue Maxima Ladva 1a, Saue
Saue Rimi Keskuse 11, Saue
Tabasalu Rimi Klooga mnt 10b, Tabasalu
Tallinna Kivila Gross (valge) Kivila 26, Tallinn
Viimsi Kaubanduskeskus (Delice) Randvere tee 6, Viimsi
Viimsi Keskus (Selver) Sõpruse tee 15, Viimsi
Viimsi Maxima Pargi tee 22, Viimsi
Laagri Maksimarket Pärnu mnt 558a, Tallinn
Laagri Selver Pärnu mnt. 554, Tallinn
Peetri Selver Veesaare tee 2, Tallinn
Raudalu Konsum Viljandi mnt. 41a, Tallinn
Tallinna Arsenali Keskus Erika 14, Tallinn
Tallinna Astangu Rimi Kotermaa tn 4, Tallinn
Tallinna Balti Jaama Turg Kopli 1, Tallinn
Tallinna Finest ärimaja Pärnu mnt 22, Tallinn
Tallinna Haabersti Rimi Haabersti 1, Tallinn
Tallinna Hiiu Rimi Pärnu mnt. 386, Tallinn
Tallinna Järve Keskus Pärnu mnt. 238, Tallinn
Tallinna Kadaka Selver Kadaka tee 56A, Tallinn
Tallinna Kakumäe Selver Rannamõisa tee 6e, Tallinn
Tallinna Kärberi Selver K. Kärberi 20/20a, Tallinn
Tallinna Kaubamaja Gonsiori 2, Tallinn
Tallinna Kolde Selver Sõle tn 31, Tallinn
Tallinna Kollane keskus (valge) Õismäe tee 107a, Tallinn
Tallinna Kristiine Keskus 1.korrus Endla 45, Tallinn
Tallinna Kristiine Keskus 2.korrus Endla 45, Tallinn
Tallinna Läänemere Selver Läänemere tee 28, Tallinn
Tallinna Lasnamäe Centrum (RIMI) Mustakivi tee 13, Tallinn
Tallinna Lasnamäe Maksimarket J. Smuuli tee 43, Tallinn
Tallinna Lasnamäe Prisma Mustakivi tee 17, Tallinn
Tallinna Linnamäe Konsum (valge) Linnamäe tee 3, Tallinn
Tallinna Magistrali Keskus Sõpruse pst 201/203, Tallinn
Tallinna Männiku Rimi Männiku tee 100, Tallinn
Tallinna Marienthali Selver (valge) Mustamäe tee 16, Tallinn
Tallinna Marja Grossi kpl Mustamäe tee 41, Tallinn
Tallinna Merimetsa Selver Paldiski mnt 56, Tallinn
Tallinna Mustamäe Keskus A. H. Tammsaare tee 104a, Tallinn
Tallinna Mustika Prisma Tammsaare tee 116 , Tallinn
Tallinna Nautica Keskus Ahtri 9, Tallinn
Tallinna Nõmme keskus (valge) Jaama 2, Tallinn
Tallinna Nurmenuku Rimi Ehitajate tee 107, Tallinn
Tallinna Õismäe Maxima XX (valge) Õismäe tee 46, Tallinn
Tallinna Pääsküla Maxima (valge) Pärnu mnt 536b, Tallinn
Tallinna Pelgulinna Selver (valge) Sõle 51, Tallinn
Tallinna Pirita Keskus Merivälja tee 24, Tallinn
Tallinna Pirita Selver Rummu tee 4, Tallinn
Tallinna Priisle Maxima XXX Linnamäe tee 57, Tallinn
Tallinna Rocca Al Mare Keskus Paldiski mnt 102, Tallinn
Tallinna Sadam D-terminal (valge) Lootsi 13, Tallinn
Tallinna Sikupilli Prisma Tartu mnt 87, Tallinn
Tallinna Smuuli Maxima Smuuli tee 9, Tallinn
Tallinna Solaris Keskus Estonia pst. 9, Tallinn
Tallinna Sõpruse pst Maxima (valge) Sõpruse pst. 171, Tallinn
Tallinna Sõpruse Rimi Sõpruse pst. 174, Tallinn
Tallinna Stockmann Liivalaia 53, Tallinn
Tallinna Stroomi Keskus Tuulemaa 20, Tallinn
Tallinna T1 Kaubanduskeskus Peterburi tee 2, Tallinn
Tallinna Tähesaju Selver Tähesaju tee 1, Tallinn
Tallinna Tondi Selver Tammsaare tee 62, Tallinn
Tallinna Tööstuse Rimi (valge) Tööstuse 103, Tallinn
Tallinna Torupilli Selver Vesivärava 37, Tallinn
Tallinna Ülemiste keskus Suur-Sõjamäe 4, Tallinn
Tallinna Vilde tee Maxima XX Vilde tee 77, Tallinn
