Maleva 23, Kohtla-Järve
Punane 16b, Tallinn
Paasiku 2a, Tallinn
Aisa tn 2, Tartu
Aruküla tee 29, Jüri
Kose maantee 7, Kehra
Piiri 7, Keila
Jaama 1, Keila
Piiri 12, Keila
Vaela tee 4, Kiili
Kodu 2, Kose
Mäe 1, Kuusalu
Kuusalu tee 39, Kuusalu
Kloogaranna tee 26, Laulasmaa
Poe, Leesi
Saha tee 9, Loo
Keemikute 2, Maardu
Nurga 3, Maardu
Altmetsa 1, Tallinn
Rae 26, Paldiski
Küti tee 4, Tallinn
Üksnurme tee 2, Saku
Ladva 1a, Saue
Keskuse 11, Saue
Klooga mnt 10b, Tabasalu
Kivila 26, Tallinn
Randvere tee 6, Viimsi
Sõpruse tee 15, Viimsi
Pargi tee 22, Viimsi
Pärnu mnt 558a, Tallinn
Pärnu mnt. 554, Tallinn
Veesaare tee 2, Tallinn
Viljandi mnt. 41a, Tallinn
Erika 14, Tallinn
Kotermaa tn 4, Tallinn
Kopli 1, Tallinn
Pärnu mnt 22, Tallinn
Haabersti 1, Tallinn
Pärnu mnt. 386, Tallinn
Pärnu mnt. 238, Tallinn
Kadaka tee 56A, Tallinn
Rannamõisa tee 6e, Tallinn
K. Kärberi 20/20a, Tallinn
Gonsiori 2, Tallinn
Sõle tn 31, Tallinn
Õismäe tee 107a, Tallinn
Endla 45, Tallinn
Endla 45, Tallinn
Läänemere tee 28, Tallinn
Mustakivi tee 13, Tallinn
J. Smuuli tee 43, Tallinn
Mustakivi tee 17, Tallinn
Linnamäe tee 3, Tallinn
Sõpruse pst 201/203, Tallinn
Männiku tee 100, Tallinn
Mustamäe tee 16, Tallinn
Mustamäe tee 41, Tallinn
Paldiski mnt 56, Tallinn
A. H. Tammsaare tee 104a, Tallinn
Tammsaare tee 116 , Tallinn
Ahtri 9, Tallinn
Jaama 2, Tallinn
Ehitajate tee 107, Tallinn
Õismäe tee 46, Tallinn
Pärnu mnt 536b, Tallinn
Sõle 51, Tallinn
Merivälja tee 24, Tallinn
Rummu tee 4, Tallinn
Linnamäe tee 57, Tallinn
Paldiski mnt 102, Tallinn
Lootsi 13, Tallinn
Tartu mnt 87, Tallinn
Smuuli tee 9, Tallinn
Estonia pst. 9, Tallinn
Sõpruse pst. 171, Tallinn
Sõpruse pst. 174, Tallinn
Liivalaia 53, Tallinn
Tuulemaa 20, Tallinn
Peterburi tee 2, Tallinn
Tähesaju tee 1, Tallinn
Tammsaare tee 62, Tallinn
Tööstuse 103, Tallinn
Vesivärava 37, Tallinn
Suur-Sõjamäe 4, Tallinn
Vilde tee 77, Tallinn
Virbi 12, Tallinn
Viru väljak 4/6, Tallinn
Keskväljak 1, Kärdla
Rehemäe, Linnumäe küla, Pühalepa vald, Kärdla
Puru tee 77, Kohtla-Järve
Tartu mnt 15a, Jõhvi
Puru tee 1, Jõhvi
Keskväljak 4, Jõhvi
Metsa 3, Kiviõli
Tallinna mnt 41, Narva
Fama põik 10, Narva
Kangelaste prospekt 29, Narva
Viru puiestee 35, Sillamäe
Pavlovi tn 1a, Sillamäe
Paiaristi, Imavere
Ringtee 2, Paide
Pärnu 63, Paide
Aiavilja 4, Paide
Viljandi 13d, Türi
Paide 26, Türi
Aia 3, Jõgeva
Aia 33, Jõgeva
Tartu 3, Mustvee
Jõgeva mnt. 1a, Põltsamaa
Tallinna maantee 1, Haapsalu
Jaama 32, Haapsalu
Tallinna maantee 84, Haapsalu
Rannarootsi tee 1, Haapsalu
Võsu mnt 5, Haljala
Viru 9, Kadrina
Kasemäe 12, Kunda
F. G. Adoffi 11, Rakvere
Tõrremäe, Rakvere vald, Rakvere
Lõõtspilli 2, Rakvere
Sauna 1, Tapa
Kalmistu 3, Tapa
Pärnu 37, Kilingi-Nõmme
Pärnade pst. 1, Paikuse
Pärnu maantee 18, Pärnu-Jaagupi
Papiniidu 8, Pärnu
Aida 7, Pärnu
Papiniidu 42, Pärnu
